2018-04-14 19:35:44.465 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper:	Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.ec.customer.CustomerApplicationTests], using SpringBootContextLoader
2018-04-14 19:35:44.472 [main] INFO  o.s.test.context.support.AbstractContextLoader:	Could not detect default resource locations for test class [com.ec.customer.CustomerApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-04-14 19:35:44.474 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils:	Could not detect default configuration classes for test class [com.ec.customer.CustomerApplicationTests]: CustomerApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-04-14 19:35:44.663 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper:	Found @SpringBootConfiguration com.ec.customer.CustomerApplication for test class com.ec.customer.CustomerApplicationTests
2018-04-14 19:35:44.680 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper:	Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-04-14 19:35:44.707 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper:	Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1afd44cb, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6973b51b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1ab3a8c8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@43195e57, org.springframework.test.context.transaction.TransactionalTestExecutionListener@333291e3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@479d31f3, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@40ef3420, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@498d318c, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6e171cd7, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@402bba4f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@795cd85e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@59fd97a8]
2018-04-14 19:35:44.716 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper:	Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.ec.customer.CustomerApplicationTests], using SpringBootContextLoader
2018-04-14 19:35:44.717 [main] INFO  o.s.test.context.support.AbstractContextLoader:	Could not detect default resource locations for test class [com.ec.customer.CustomerApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-04-14 19:35:44.718 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils:	Could not detect default configuration classes for test class [com.ec.customer.CustomerApplicationTests]: CustomerApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-04-14 19:35:44.723 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper:	Found @SpringBootConfiguration com.ec.customer.CustomerApplication for test class com.ec.customer.CustomerApplicationTests
2018-04-14 19:35:44.729 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper:	Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
